year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
2043,ACCESS-ESM1-5,r2i1p1f1,ssp370,2.18,3.03,7.57,5.15,5.85,5.53,4.78,5.15
2044,ACCESS-ESM1-5,r1i1p1f1,ssp370,4.83,8.1,6.93,3.53,6.97,8.35,6.3,6.49
2044,ACCESS-ESM1-5,r2i1p1f1,ssp370,14.25,7.06,5.7,5.72,7.14,9.3,8.77,8.45
2045,ACCESS-ESM1-5,r1i1p1f1,ssp370,3.85,19.14,5.58,9.99,8.15,27.96,9.33,8.76
2045,ACCESS-ESM1-5,r2i1p1f1,ssp370,3.49,7.82,9.07,4.62,7.6,9.21,3.7,6.48
2046,ACCESS-ESM1-5,r1i1p1f1,ssp370,1.56,4.56,6.99,3.95,6.55,15.19,12.27,7.01
2046,ACCESS-ESM1-5,r2i1p1f1,ssp370,6.29,7.02,5.81,3.79,7.51,6.53,6.54,6.39
2047,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.59,2.74,6.39,6.97,8.06,31.82,6.43,6.33
2047,ACCESS-ESM1-5,r2i1p1f1,ssp370,3.2,0.34,5.34,2.75,5.17,1.01,7.49,4.61
2048,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.63,1.62,4.26,5.2,7.24,19.48,5.01,4.61
2048,ACCESS-ESM1-5,r2i1p1f1,ssp370,4.46,3.27,6.72,6.58,5.14,1.61,6.49,5.46
2049,ACCESS-ESM1-5,r1i1p1f1,ssp370,4.03,4.11,8.15,8.14,10.69,10.42,8.26,7.48
2049,ACCESS-ESM1-5,r2i1p1f1,ssp370,6.13,3.68,7.34,2.42,9.91,6.0,6.59,6.8
2050,ACCESS-ESM1-5,r1i1p1f1,ssp370,2.03,3.68,7.63,6.5,3.11,21.45,9.02,6.4
2050,ACCESS-ESM1-5,r2i1p1f1,ssp370,6.71,3.56,6.19,1.77,11.24,7.56,7.65,7.02
2051,ACCESS-ESM1-5,r1i1p1f1,ssp370,10.81,2.96,9.2,6.8,7.97,4.78,5.91,7.82
2051,ACCESS-ESM1-5,r2i1p1f1,ssp370,20.56,4.29,9.08,3.03,5.58,7.05,5.91,9.41
2052,ACCESS-ESM1-5,r1i1p1f1,ssp370,6.66,11.65,7.83,9.22,9.68,16.35,6.64,8.41
2052,ACCESS-ESM1-5,r2i1p1f1,ssp370,11.9,8.27,7.71,6.84,7.32,10.68,7.51,8.57
2053,ACCESS-ESM1-5,r1i1p1f1,ssp370,11.0,17.71,13.07,14.53,16.95,12.18,10.15,13.09
2053,ACCESS-ESM1-5,r2i1p1f1,ssp370,34.69,19.12,14.45,14.56,11.34,14.95,10.11,17.43
2054,ACCESS-ESM1-5,r1i1p1f1,ssp370,12.55,16.44,10.34,10.17,8.22,12.79,8.75,10.81
2054,ACCESS-ESM1-5,r2i1p1f1,ssp370,30.02,24.88,15.16,8.78,7.47,22.41,10.59,17.0
2055,ACCESS-ESM1-5,r1i1p1f1,ssp370,10.24,5.34,6.21,11.21,7.86,2.56,7.05,7.28
2055,ACCESS-ESM1-5,r2i1p1f1,ssp370,28.11,7.74,10.25,3.83,9.02,0.72,6.85,11.95
2056,ACCESS-ESM1-5,r1i1p1f1,ssp370,11.77,6.44,5.98,13.03,8.95,14.12,3.12,7.53
2056,ACCESS-ESM1-5,r2i1p1f1,ssp370,28.37,16.97,11.62,8.68,6.54,2.17,10.47,13.84
2057,ACCESS-ESM1-5,r1i1p1f1,ssp370,12.28,3.75,7.86,13.12,6.37,2.67,10.54,8.55
2057,ACCESS-ESM1-5,r2i1p1f1,ssp370,2.38,0.8,10.01,1.53,4.08,1.4,6.87,5.59
2058,ACCESS-ESM1-5,r1i1p1f1,ssp370,4.46,4.46,5.12,6.18,9.47,13.69,6.55,6.26
2058,ACCESS-ESM1-5,r2i1p1f1,ssp370,11.59,16.25,12.63,9.69,5.43,9.96,5.15,10.01
2059,ACCESS-ESM1-5,r1i1p1f1,ssp370,9.49,6.92,12.85,6.73,5.36,5.67,7.93,9.09
2059,ACCESS-ESM1-5,r2i1p1f1,ssp370,4.19,3.76,7.26,4.91,10.45,27.17,6.65,7.51
2060,ACCESS-ESM1-5,r1i1p1f1,ssp370,13.96,12.95,7.17,15.77,4.47,19.68,9.33,9.83
2060,ACCESS-ESM1-5,r2i1p1f1,ssp370,10.69,5.08,11.44,6.87,11.97,11.09,6.11,9.56
2061,ACCESS-ESM1-5,r1i1p1f1,ssp370,8.83,8.57,4.87,3.86,6.57,9.49,10.68,7.57
2061,ACCESS-ESM1-5,r2i1p1f1,ssp370,28.82,15.35,14.74,10.82,11.09,3.08,10.14,15.39
2062,ACCESS-ESM1-5,r1i1p1f1,ssp370,15.94,8.56,10.86,18.19,12.86,21.2,11.42,12.67
